policy,previous_policy,perturbation_rate,sample,objective,access_cost,hit_ratio,local_hit_ratio,cooperative_hit_ratio,origin_miss_ratio,replication_cost,redundancy_cost,redundancy_ratio,relocation_cost,selected_policy
diversified_popularity,,0.05,11,2.749135428192313,2.5379758815488955,0.9874981866022082,0.10222331010491441,0.8852748764972938,0.012501813152706936,5.0,0.0061755303690787565,0.002707042669026738,0.0,
topology_greedy,,0.05,0,3.7588279906891415,3.679681424768382,0.9528314878569089,0.11337261403807336,0.8394588738188354,0.04716851128937884,2.7222222222222223,0.0013723400820175012,0.0006515207260240373,0.0,
topology_greedy,,0.05,1,3.7151952724201256,3.634853878394521,0.953740016140632,0.11400497866500366,0.8397350374756283,0.046259982731977574,2.736842105263158,0.001422475106685633,0.0006317763104263471,0.0,
topology_greedy,,0.05,2,2.636360269586724,2.5570359452624,0.9868630899116397,0.1123597860801965,0.8745033038314431,0.013136909413151442,2.75,0.0013513513513513514,0.0005855685681904043,0.0,
topology_greedy,,0.05,3,4.0100285223142995,3.9342026964884735,0.9454596861550171,0.11590702050468987,0.8295526656503271,0.05454031296540052,2.7777777777777777,0.0011261261261261261,0.0005459284305438149,0.0,
topology_greedy,,0.05,4,6.414278293805315,6.339440673927372,0.8721212377131451,0.12125515466323122,0.7508660830499139,0.1278787603660021,2.6875,0.0011715344376634698,0.0006435584291187736,0.0,
topology_greedy,,0.05,5,2.6316896299677075,2.5563539717288237,0.9868630899116397,0.1123597860801965,0.8745033038314431,0.013136909413151442,2.75,0.0011297587910491136,0.00048788905622489955,0.0,
topology_greedy,,0.05,6,3.7157994008758686,3.6354580068502638,0.953740016140632,0.11400497866500366,0.8397350374756283,0.046259982731977574,2.736842105263158,0.001422475106685633,0.0006418219461697723,0.0,
topology_greedy,,0.05,7,2.6207553046504857,2.5447786148877176,0.9872758717668292,0.11199153925439245,0.8752843325124368,0.012724127939068958,2.8421052631578947,0.0010630324722005538,0.0004784919585811854,0.0,
topology_greedy,,0.05,8,4.459765482791635,4.390739036990997,0.9319562799323143,0.10687934498613079,0.8250769349461835,0.06804371983485503,2.6666666666666665,0.0008718395815170009,0.0004314891168856072,0.0,
topology_greedy,,0.05,9,7.271796080770154,7.191352532383057,0.8454237314872444,0.11732659552944824,0.7280971359577961,0.15457626822171733,2.8125,0.0013440860215053765,0.0007259172061997249,0.0,
topology_greedy,,0.05,10,3.484335560972168,3.4096208462574538,0.9614051752853103,0.11626524762767884,0.8451399276576316,0.03859482389978237,2.7222222222222223,0.0011261261261261261,0.0005329635063267924,0.0,
topology_greedy,,0.05,11,3.4356218702359596,3.356175258938754,0.9625251048587655,0.11116206748901229,0.8513630373697532,0.037474894896149635,2.736842105263158,0.0013727649551079095,0.000601751280607182,0.0,
hybrid_dqn,,0.05,0,3.435558702375501,3.2965593804729534,0.9638318514270294,0.12083819666359988,0.8429936547634296,0.036168147719258234,3.4444444444444446,0.0038950240563143785,0.0018491691194505763,0.0,
hybrid_dqn,,0.05,1,3.7628404587086686,3.6062287026402067,0.953740016140632,0.12188964104279876,0.8318503750978332,0.046259982731977574,3.473684210526316,0.004841003992107557,0.0021500774435477296,0.0,
hybrid_dqn,,0.05,2,2.681858158880435,2.528638455305893,0.9868630899116397,0.11985021533910185,0.8670128745725378,0.013136909413151442,3.45,0.004678872420807905,0.002027452461906561,0.0,
hybrid_dqn,,0.05,3,2.7074242422232007,2.558304800200533,0.9869872259959165,0.12234961761472125,0.8646376083811952,0.013012773124501109,3.5,0.004395524556814879,0.002130881938574245,0.0,
hybrid_dqn,,0.05,4,5.258128619121206,5.131289037604205,0.9083924108417705,0.12953734214534052,0.77885506869643,0.09160758723737672,3.375,0.0032966434176111598,0.0018109434865900375,0.0,
hybrid_dqn,,0.05,5,2.677314944187408,2.5280839066983054,0.9868630899116397,0.11985021533910185,0.8670128745725378,0.013136909413151442,3.45,0.0044572798605056665,0.0019248870481927709,0.0,
hybrid_dqn,,0.05,6,3.764879493711093,3.6067534899484173,0.953740016140632,0.12188964104279876,0.8318503750978332,0.046259982731977574,3.473684210526316,0.004925128864008321,0.0022222222222222222,0.0,
hybrid_dqn,,0.05,7,2.6503059152285124,2.5190922227584536,0.9872758717668292,0.11911439329483792,0.8681614784719912,0.012724127939068958,3.473684210526316,0.0034300004588629376,0.00154391110376735,0.0,
hybrid_dqn,,0.05,8,3.7547170793160456,3.631671453044613,0.954468391641664,0.11483811219740245,0.8396302794442616,0.04553160812550535,3.3333333333333335,0.0031321644224870026,0.0015501646051075517,0.0,
hybrid_dqn,,0.05,9,5.074879649752208,4.949708551234335,0.9136969570681686,0.12317267124308273,0.7905242858250858,0.08630304264079314,3.5,0.0030650610287707063,0.0016553855208946428,0.0,
hybrid_dqn,,0.05,10,2.9948329279290227,2.843969806743321,0.9778621998330992,0.12458794680424035,0.8532742530288588,0.022137799351993535,3.5,0.00449239562142788,0.002126123234916559,0.0,
hybrid_dqn,,0.05,11,3.3779257761746626,3.2237432404980697,0.9657538616539616,0.11878316748985335,0.8469706941641083,0.03424613810095348,3.4210526315789473,0.004764526835834136,0.0020885295143079348,0.0,
online_dqn,online_dqn,0.05,0,3.354703454407224,3.227204665295532,0.9664350333364887,0.11780787267101307,0.8486271606654756,0.033564965809798904,3.0555555555555554,0.003317833962995254,0.0015751471670345846,0.16666666666666666,
online_dqn,online_dqn,0.05,1,3.3279955218651027,3.190445849952103,0.9667619296447619,0.12056457753734369,0.8461973521074182,0.03323806922784761,3.210526315789474,0.003372642591657872,0.0014979212521398877,0.3157894736842105,
online_dqn,online_dqn,0.05,2,2.2295924741799573,2.1089978795853623,0.9999999993247911,0.11859140500891954,0.8814085943158716,0.0,3.2,0.0024774774774774773,0.0010735423750157411,0.3,
online_dqn,online_dqn,0.05,3,3.6186457200984816,3.491288362741124,0.9584724592795182,0.1222450088761333,0.8362274504033849,0.04152753984089941,3.2222222222222223,0.0028778778778778785,0.0013951504336119716,0.2777777777777778,
online_dqn,online_dqn,0.05,4,4.570052165539552,4.42956829457181,0.9301816165971104,0.12904467832413502,0.8011369382729754,0.06981838148203678,3.25,0.0033602150537634413,0.0018458652618135371,0.375,
online_dqn,online_dqn,0.05,5,2.2383426039767196,2.10865908174481,0.9999999993247911,0.11859140500891954,0.8814085943158716,0.0,3.2,0.002982417901772741,0.001287964357429719,0.3,
