policy,objective,access_cost,hit_ratio,replication_cost,redundancy_cost,relocation_cost
Online DQN,2.2090639016494005,2.1195625938900275,0.9999999993247912,2.9,0.0014167393199651,0.1499999999999999
Keep Current,2.6329614514045443,2.5536371270802194,0.98686308991164,2.75,0.0013513513513513,0.0
Topology Greedy,2.6329614514045443,2.5536371270802194,0.98686308991164,2.75,0.0013513513513513,0.0
Fixed Greedy+DQN,2.710577796145262,2.5253580925707197,0.98686308991164,3.4500000000000006,0.0046788724208079,0.8000000000000002
Diversified,2.73890820225969,2.5209483068804386,0.9873789139091969,5.0,0.0065533275210694,0.0
Random,6.723462203722833,6.115397687593801,0.8771807715296746,5.0,0.0282258064516129,0.0
Local Pop.,16.72791314275855,13.533362140143026,0.6375669531058519,5.0,0.1719195001453066,0.0
Global Pop.,24.924890979961493,20.324890979961488,0.4316208528354764,5.0,0.25,0.0
