,0.0,0.05,0.1,0.15,0.2,0.25
Keep Current,2.6329614514045443,3.497342912870009,3.628963800954436,3.9555628358667754,3.4388168480402292,4.342082338252842
Diversified,2.73890820225969,3.47228728678837,3.248755850021993,5.25244201778509,3.932411050160298,4.649422782382331
Topology Greedy,2.6329614514045443,4.012871139923299,4.336466385693112,5.17224727338974,5.891874996323817,7.467273835125603
Fixed Greedy+DQN,2.710577796145262,3.5117221639673306,3.911116531524719,4.352827147870266,4.9728477946926954,6.2802652573437285
Online DQN,2.2090639016494005,3.3983268132434383,3.283789424559124,3.5549060733966407,3.3065706012677545,4.415136095002997
